season,first_aired,last_aired,episodes,source_material,avg_us_viewers_millions
1,2011-04-17,2011-06-19,10,A Game of Thrones,2.52
2,2012-04-01,2012-06-03,10,A Clash of Kings,3.80
3,2013-03-31,2013-06-09,10,A Storm of Swords,4.97
4,2014-04-06,2014-06-15,10,Book 3 + later material,6.84
5,2015-04-12,2015-06-14,10,Books 4/5 + original,6.88
6,2016-04-24,2016-06-26,10,Future-book outline + original,7.69
7,2017-07-16,2017-08-27,7,Future-book outline + original,10.26
8,2019-04-14,2019-05-19,6,Future direction + original,11.99
