work,award,year,category,result
A Game of Thrones,Locus,1997,Best First Novel,Won
A Game of Thrones,Hugo,1997,Best Novel,Nominated
A Clash of Kings,Locus Poll,1999,Best Novel,Won
A Storm of Swords,Hugo,2001,Best Novel,Nominated
A Storm of Swords,Locus,2001,Best Fantasy Novel,Won
A Feast for Crows,NYT,2005,Hardcover Fiction,Debuted #1
A Dance with Dragons,Locus,2012,Best Novel,Won
A Dance with Dragons,Hugo,2012,Best Novel,Nominated
Game of Thrones,Television Academy,2011-2019,Emmys,59 wins / 159 nominations
